Time,Intensity
0.487500012,18.05042076
,
0.489166677,20.78264427
,
0.490833342,24.98286629
,
0.492500007,20.92379189
,
0.494166672,17.97546577
,
0.495833337,19.40430069
,
0.497500002,21.78023911
,
0.499166668,20.8290081
,
0.500833333,21.93027115
,
0.502499998,21.83182716
,
0.504166663,18.70737076
,
0.505833328,20.00398827
,
0.507499993,20.06576729
,
0.509166658,21.11801338
,
0.510833323,21.47610474
,
0.512499988,17.62295151
,
0.514166653,21.01202202
,
0.515833318,22.03277016
,
0.517500043,20.44125938
,
0.519166648,26.9079895
,
0.520833314,20.85989571
,
0.522499979,22.86623001
,
0.524166703,24.95089912
,
0.525833368,21.26636124
,
0.527499974,21.65045547
,
0.529166639,20.79781723
,
0.530833364,22.40748596
,
0.532500029,21.93954086
,
0.534166634,15.67409039
,
0.535833359,16.63979149
,
0.537500024,21.5642662
,
0.539166689,18.82514572
,
0.540833354,22.33379555
,
0.54249996,22.19414711
,
0.544166684,14.19979954
,
0.545833349,17.40988541
,
0.547500014,19.88908577
,
0.549166679,18.48225594
,
0.550833345,20.32254791
,
0.55250001,19.7191925
,
0.554166675,18.36054039
,
0.555833399,19.30528069
,
0.557500005,14.82067394
,
0.55916667,25.41012192
,
0.560833335,17.92910385
,
0.5625,19.18888092
,
0.564166725,21.8345089
,
0.56583333,22.86938286
,
0.567499995,20.63377571
,
0.56916672,20.23544121
,
0.570833325,20.20031166
,
0.57250005,18.727108
,
0.574166656,19.9342308
,
0.575833321,18.6425972
,
0.577500045,20.79722595
,
0.579166651,18.24754715
,
0.580833376,16.50383949
,
0.582500041,23.55166054
,
0.584166646,22.33712578
,
0.585833371,16.96105766
,
0.587499976,18.80084801
,
0.589166701,16.58098221
,
0.590833366,18.49602699
,
0.592499971,20.78401375
,
0.594166696,20.81899452
,
0.595833361,23.28344154
,
0.597500026,18.77162361
,
0.599166691,22.72252083
,
0.600833297,18.52685547
,
0.602500022,22.28994179
,
0.604166687,23.78808975
,
0.605833352,22.32843781
,
0.607500017,17.81038857
,
0.609166682,18.50823021
,
0.610833347,17.1333046
,
0.612500012,18.8518734
,
0.614166677,22.60674477
,
0.615833342,18.17237854
,
0.617500007,21.578022
,
0.619166672,26.89386177
,
0.620833337,24.81258583
,
0.622500062,22.03987503
,
0.624166668,20.28643799
,
0.625833333,19.58143425
,
0.627499998,20.03661919
,
0.629166663,18.72514153
,
0.630833387,19.72956657
,
0.632499993,27.22745705
,
0.634166658,18.32066536
,
0.635833383,23.20272636
,
0.637499988,21.51763344
,
0.639166713,21.58199501
,
0.640833318,22.10830879
,
0.642499983,25.40822601
,
0.644166708,19.44828987
,
0.645833314,19.53390503
,
0.647500038,18.37279701
,
0.649166703,19.29800034
,
0.650833309,18.91055679
,
0.652500033,20.48749733
,
0.654166639,20.43345833
,
0.655833364,20.43562889
,
0.657500029,18.45150566
,
0.659166634,20.75539589
,
0.660833359,17.90073204
,
0.662500024,20.45624924
,
0.664166689,20.04568291
,
0.665833354,17.39100647
,
0.66749996,20.03693771
,
0.669166684,23.49833679
,
0.670833349,20.54652405
,
0.672500014,18.26611328
,
0.674166679,19.82105827
,
0.675833345,20.9094944
,
0.67750001,23.87596893
,
0.679166675,19.87822342
,
0.680833399,28.31128311
,
0.682500005,21.13694954
,
0.68416667,22.58098412
,
0.685833335,19.15325928
,
0.6875,22.42886543
,
0.689166725,18.62061691
,
0.69083333,17.52591324
,
0.692499995,20.76904488
,
0.69416672,21.77664185
,
0.695833325,16.86469841
,
0.69750005,22.22919083
,
0.699166656,21.94498253
,
0.700833321,19.45565605
,
0.702500045,19.3612175
,
0.704166651,21.0276413
,
0.705833376,21.79070091
,
0.707500041,22.92098236
,
0.709166646,21.96356201
,
0.710833371,21.26859283
,
0.712499976,19.17328072
,
0.714166701,16.36722565
,
0.715833366,21.34178162
,
0.717499971,22.61929321
,
0.719166696,22.07084465
,
0.720833361,18.79543114
,
0.722500026,20.54955864
,
0.724166691,18.55274773
,
0.725833297,23.45126724
,
0.727500022,20.58545113
,
0.729166687,19.54829597
,
0.730833352,22.11791611
,
0.732500017,22.19215202
,
0.734166682,21.84466171
,
0.735833347,23.0111084
,
0.737500012,23.04897118
,
0.739166677,20.7138195
,
0.740833342,22.1011734
,
0.742500007,25.12888718
,
0.744166672,30.21442604
,
0.745833337,23.19977951
,
0.747500062,23.58105469
,
0.749166668,21.48061562
,
0.750833333,19.80130386
,
0.752499998,21.48582268
,
0.754166663,18.05188751
,
0.755833387,23.91988373
,
0.757499993,20.62242317
,
0.759166658,22.81253242
,
0.760833383,24.47834396
,
0.762499988,14.45338345
,
0.764166713,25.88963318
,
0.765833318,17.2619648
,
0.767499983,21.94125557
,
0.769166708,20.74921799
,
0.770833314,18.14894295
,
0.772500038,15.90183163
,
0.774166703,21.34443092
,
0.775833309,23.78900146
,
0.777500033,21.6818161
,
0.779166639,21.60525322
,
0.780833364,21.44091034
,
0.782500029,21.04501724
,
0.784166634,21.35051155
,
0.785833359,20.63570786
,
0.787500024,16.687397
,
0.789166689,22.25393295
,
0.790833354,25.54500389
,
0.79249996,20.32244873
,
0.794166684,19.70510674
,
0.795833349,21.23565292
,
0.797500014,19.71326256
,
0.799166679,20.64529228
,
0.800833345,16.38891792
,
0.80250001,18.53621864
,
0.804166675,21.55829811
,
0.805833399,17.32993317
,
0.807500005,22.35071373
,
0.80916667,22.1393528
,
0.810833335,19.64015961
,
0.8125,21.48660469
,
0.814166725,20.66435432
,
0.81583333,17.18477821
,
0.817499995,20.39517784
,
0.81916672,23.29682159
,
0.820833325,21.08166885
,
0.82250005,21.04705811
,
0.824166656,20.20537758
,
0.825833321,19.97787666
,
0.827500045,19.79177475
,
0.829166651,20.98581314
,
0.830833376,17.59739685
,
0.832500041,18.44572067
,
0.834166646,20.8241024
,
0.835833371,20.48743439
,
0.837499976,21.55315399
,
0.839166701,21.29090691
,
0.840833366,22.42256165
,
0.842499971,20.83475685
,
0.844166696,20.98331642
,
0.845833361,26.9247818
,
0.847500026,19.6078434
,
0.849166691,24.50814629
,
0.850833297,24.83318329
,
0.852500022,19.86294556
,
0.854166687,19.04922485
,
0.855833352,20.64767838
,
0.857500017,21.77779198
,
0.859166682,19.07256317
,
0.860833347,19.29499054
,
0.862500012,16.52864647
,
0.864166677,23.95394325
,
0.865833342,21.66016006
,
0.867500007,23.33809662
,
0.869166672,26.9132576
,
0.870833337,25.97359085
,
0.872500062,20.34444618
,
0.874166668,18.8729763
,
0.875833333,19.79609871
,
0.877499998,19.36329651
,
0.879166663,18.10636139
,
0.880833387,19.11907005
,
0.882499993,21.10949135
,
0.884166658,21.42546272
,
0.885833383,19.20226479
,
0.887499988,20.67887878
,
0.889166713,21.31640625
,
0.890833318,23.49505997
,
0.892499983,19.57801437
,
0.894166708,22.73633957
,
0.895833314,23.31173515
,
0.897500038,21.64938164
,
0.899166703,23.81662369
,
0.900833309,20.15714455
,
0.902500033,18.40490913
,
0.904166639,20.04335403
,
0.905833364,19.36923218
,
0.907500029,21.27308273
,
0.909166634,20.57259941
,
0.910833359,24.28830719
,
0.912500024,20.47896576
,
0.914166689,20.24385262
,
0.915833354,21.25665283
,
0.91749996,20.93893814
,
0.919166684,20.85723877
,
0.920833349,20.9160347
,
0.922500014,22.49692535
,
0.924166679,22.04476166
,
0.925833345,22.85850143
,
0.92750001,19.11605644
,
0.929166675,25.64453316
,
0.930833399,23.01115608
,
0.932500005,21.43169022
,
0.93416667,20.4027195
,
0.935833335,22.15423965
,
0.9375,20.70320702
,
0.939166725,20.47805023
,
0.94083333,19.91976738
,
0.942499995,23.8071003
,
0.94416672,17.40694237
,
0.945833325,18.57269096
,
0.94750005,20.4142704
,
0.949166656,19.6277504
,
0.950833321,23.30501366
,
0.952500045,18.80512619
,
0.954166651,22.16401291
,
0.955833376,20.12984848
,
0.957500041,23.25966644
,
0.959166646,21.39748001
,
0.960833371,22.32203674
,
0.962499976,20.15673828
,
0.964166701,21.38072205
,
0.965833366,20.41692924
,
0.967499971,19.81774521
,
0.969166696,19.76807213
,
0.970833361,20.15963936
,
0.972500026,20.46177101
,
0.974166691,24.60720634
,
0.975833297,22.35116386
,
0.977500022,20.2873764
,
0.979166687,20.22341537
,
0.980833352,23.28460884
,
0.982500017,22.22297478
,
0.984166682,21.39353752
,
0.985833347,21.7242794
,
0.987500012,20.58111382
,
0.989166677,16.22173119
,
0.990833342,18.54693031
,
0.992500007,16.91795921
,
0.994166672,23.05424881
,
0.995833337,26.13743019
,
0.997500062,25.34669113
,
0.999166668,21.42554092
,
1.000833273,22.21541786
,
1.002500057,22.63946342
,
1.004166722,21.01424217
,
1.005833387,17.75044632
,
1.007500052,21.25962448
,
1.009166598,19.09698486
,
1.010833383,16.14915848
,
1.012500048,24.31758308
,
1.014166713,20.15657806
,
1.015833378,24.4325676
,
1.017500043,22.5502243
,
1.019166708,23.26640701
,
1.020833373,19.92073822
,
1.022500038,20.28639603
,
1.024166703,17.03078079
,
1.025833368,24.34937286
,
1.027500033,25.1396656
,
1.029166698,20.74280167
,
1.030833364,23.43397903
,
1.032500029,21.92729378
,
1.034166694,21.24601173
,
1.035833359,19.26225281
,
1.037500024,18.27150154
,
1.039166689,20.92975044
,
1.040833354,19.66501617
,
1.042500019,23.13818359
,
1.044166684,18.06001472
,
1.045833349,18.10019302
,
1.047500014,21.72642517
,
1.049166679,20.29936409
,
1.050833344,20.63434219
,
1.05250001,18.1378479
,
1.054166675,24.61443138
,
1.05583334,21.50204849
,
1.057500005,22.96364784
,
1.05916667,23.88507271
,
1.060833335,21.26188469
,
1.0625,23.02698898
,
1.064166665,17.69457245
,
1.06583333,18.79126358
,
1.067499995,20.96985626
,
1.06916666,21.14330482
,
1.070833325,22.85269356
,
1.07249999,21.81855011
,
1.074166775,17.8302021
,
1.07583344,20.3679142
,
1.077499986,22.99370384
,
1.079166651,20.24879074
,
1.080833316,21.37330437
,
1.0825001,19.80095673
,
1.084166765,23.51337433
,
1.085833311,25.23648262
,
1.087499976,21.55807686
,
1.089166641,23.67007446
,
1.090833426,17.76781082
,
1.092500091,23.2127552
,
1.094166636,22.30432892
,
1.095833302,22.23960304
,
1.097499967,22.63955879
,
1.099166751,17.86318398
,
1.100833416,20.11687279
,
1.102500081,23.40323448
,
1.104166627,18.49822044
,
1.105833292,18.24917603
,
1.107500076,20.07349014
,
1.109166741,20.93331909
,
1.110833406,21.39000893
,
1.112499952,26.44053459
,
1.114166617,21.69775391
,
1.115833402,21.16945839
,
1.117500067,20.60807228
,
1.119166732,18.54443741
,
1.120833278,22.69459915
,
1.122499943,25.72916222
,
